name,city,country
Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",Indonesia
Hamad International Airport,Doha,Qatar
Eppley Airfield,Omaha,United States
Hollywood Burbank Airport,Burbank,United States
Charleston International Airport,Charleston,United States
Malta International Airport,Valletta,Malta
Palm Beach International Airport,West Palm Beach,United States
Louisville Muhammad Ali International Airport,Louisville,United States
Ninoy Aquino International Airport,Manila (Pasay),Philippines
Billy Bishop Toronto City Centre Airport,Toronto,Canada
Birmingham Airport,"Birmingham, West Midlands",United Kingdom
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil
Reno Tahoe International Airport,Reno,United States
El Paso International Airport,El Paso,United States
Comodoro Arturo Merino Benítez International Airport,Santiago,Chile
Gran Canaria Airport,Gran Canaria Island,Spain
Theodore Francis Green State Airport,Warwick,United States
Norfolk International Airport,Norfolk,United States
London City Airport,London,United Kingdom
Cape Town International Airport,Cape Town,South Africa
Stuttgart Airport,Stuttgart,Germany
Edmonton International Airport,Edmonton,Canada
Long Beach Airport (Daugherty Field),Long Beach,United States
Milan Bergamo Airport / Antonio Locatelli Air Base,Orio al Serio (BG),Italy
Richmond International Airport,Richmond,United States
Riga International Airport,Riga,Latvia
Savannah Hilton Head International Airport,Savannah,United States
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada
Francisco de Sá Carneiro Airport,Porto,Portugal
Birmingham-Shuttlesworth International Airport,Birmingham,United States
Ellison Onizuka Kona International Airport at Keahole,Kailua-Kona,United States
Southwest Florida International Airport,Fort Myers,United States
Halifax / Stanfield International Airport,Halifax,Canada
"Bergen Airport, Flesland",Bergen,Norway
Bucharest Henri Coandă International Airport,Otopeni,Romania
Tocumen International Airport,Tocumen,Panama
Ontario International Airport,Ontario,United States
Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece
Albany International Airport,Albany,United States
Phuket International Airport,Phuket,Thailand
Boise Air Terminal/Gowen Field,Boise,United States
Westchester County Airport,White Plains,United States
Ciampino–G. B. Pastine International Airport,Rome,Italy
Juan Santamaría International Airport,San José (Alajuela),Costa Rica
Kraków John Paul II International Airport,Balice,Poland
Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam
Soekarno-Hatta International Airport,Jakarta,Indonesia
Kansai International Airport,Osaka,Japan
